list,sale,full,half,bedrooms,rooms,neighborhood
80,117.7,1,0,3,6,1
151.4,151,1,0,4,7,1
310,300,2,1,4,9,3
295,275,2,1,4,8,3
339,340,2,0,3,7,4
337.5,337.5,1,1,4,8,3
228.7,215,3,0,3,7,2
245,239,1,1,3,7,2
339,345,1,2,3,7,3
43,48,1,0,1,3,2
279,262.5,1,2,3,8,2
599,613,3,2,4,10,5
119,119,2,0,3,7,2
289,305,2,0,3,6,3
249,249,1,1,2,4,3
178,170,2,1,3,6,2
159,153,1,0,2,7,2
289,291,2,1,3,7,3
488,450,3,0,3,7,5
376,370,3,0,3,7,4
249,245,1,1,3,8,3
275,275,2,0,4,8,3
275,272.5,2,1,2,6,3
459,459,3,1,5,11,4
219,230,1,1,3,7,3
359,360,2,0,3,8,4
379,370,2,1,4,8,4
189,185,1,1,4,8,2
173,185,1,0,3,7,3
